name,price,description,instructions
Long Island Iced Tea,14,A classic Long Island Iced Tea,"Fill a cocktail shaker with ice. Pour the vodka, gin, rum, tequila, Triple Sec, and lemon juice into the shaker. Cover and shake vigorously to combine and chill. Pour the mixture, ice and all, into 2 glasses or beer mugs and top off with the cola. Garnish with lemon wedges. Serve."
Aqua Velva,14,"Aqua Velva is a cocktail made with vodka, gin, lemon-lime, and Blue Curaçao","In a cocktail shaker filled with ice, add Vodka, Gin and Blue Curacao. Shake and strain into a High Ball Glass, top with ice. Top with sour mix."
