name,ingredient
Long Island Iced Tea,Vodka
Long Island Iced Tea,Gin
Long Island Iced Tea,White Rum
Long Island Iced Tea,Tequila
Long Island Iced Tea,Triple Sec
Long Island Iced Tea,Lemon Juice
Long Island Iced Tea,Cola
Long Island Iced Tea,Lemon
Aqua Velva,Vodka
Aqua Velva,Gin
Aqua Velva,Blue Curacao
Aqua Velva,Sour Mix
